A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),U(760),V(810),W(860),K(900),L(940),T(730)
1840.62,873.84,2732.84,647.71,888.03,1365.59,375.15,384.15,1029.05,194.93,256.62,55.06,55.61,179.96,225.26,85.05,38.34,68.93
1563.92,912.7,2567.64,646.78,924.34,1256.29,378.37,387.16,1018.51,197.16,242.25,55.49,57.22,170.49,232.02,82.78,39.26,71.2
1851.89,1050.2,2579.58,670.81,989.86,1245.8,355.8,373.6,844.08,195.82,219.67,52.52,56.41,161.02,235.4,82.22,40.17,71.2
2779.14,827.01,2415.37,590.42,910.92,1329.66,357.95,384.65,873.34,205.63,200.16,55.06,53.19,164.46,212.87,87.89,40.17,71.95
1059.09,644.67,2040.18,494.33,836.72,1117.78,336.45,351.0,952.95,183.78,233.01,51.68,56.41,165.32,230.89,82.78,36.52,72.71
1881.38,1072.13,2536.79,655.1,978.81,1211.36,356.87,343.47,832.37,167.27,224.8,54.22,58.02,152.41,226.39,80.51,39.26,72.71
1672.34,784.17,2726.87,626.46,914.08,1423.99,367.62,380.63,1012.66,194.04,249.44,54.22,53.99,175.66,199.36,86.75,37.43,68.93
2355.85,1087.07,2433.29,631.08,921.97,1134.25,353.65,346.48,979.88,176.64,237.12,56.76,57.22,171.35,239.91,84.48,39.26,74.23
1947.31,1037.25,2558.68,668.04,1001.7,1254.04,383.75,393.18,1011.49,202.06,250.46,57.18,58.02,166.18,221.88,82.78,41.08,74.23
2478.15,970.49,2783.6,607.05,888.82,1358.11,368.7,384.15,827.69,194.48,236.09,53.37,53.99,196.0,186.0,156.0,44.0,68.17
1792.04,755.27,2192.44,535.91,719.11,1114.0,346.66,367.07,771.49,186.45,187.85,49.56,44.32,151.55,192.6,85.62,38.34,56.05
2520.66,1015.33,2605.46,645.86,910.13,1285.48,345.59,359.04,952.95,188.68,204.27,54.22,51.58,160.16,177.96,82.78,38.34,67.41
2373.2,986.43,2470.11,625.53,880.93,1224.09,371.39,382.14,852.27,198.94,220.69,52.95,52.38,163.6,208.37,84.48,39.26,65.9
2855.47,1033.27,2888.1,686.52,900.66,1434.47,376.76,382.64,1011.49,197.6,240.2,56.76,54.8,178.24,209.49,86.18,39.26,67.14
1870.98,1090.07,2202.5,772.45,882.51,1185.91,423.52,429.81,1454.01,223.48,337.71,70.31,78.71,221.29,322.12,86.75,49.3,84.83
2729.7,1165.79,2981.65,824.19,966.18,1832.77,370.85,388.16,1136.77,208.76,229.92,60.57,59.64,199.77,193.73,96.27,48.39,72.71
3250.14,1302.29,2847.29,937.98,1091.25,2037.88,496.84,501.65,1477.43,263.75,356.19,77.09,76.56,256.7,306.36,102.63,54.78,85.59
2135.53,1126.94,2777.62,871.31,1045.8,2025.18,417.61,420.8,1456.35,214.55,334.63,69.06,74.96,244.52,292.82,95.26,48.39,83.31
2017.7,1047.22,2448.98,768.2,877.77,1787.1,429.9,439.3,1320.55,223.92,332.58,69.06,71.71,236.79,302.98,94.15,49.3,79.53
2588.91,1171.77,3424.51,890.72,1186.41,1866.46,430.51,444.4,1410.7,229.27,326.27,69.46,72.53,241.1,291.72,117.37,52.02,89.38
2616.94,1191.69,3003.54,900.68,1085.37,2078.34,478.95,490.1,1441.13,252.92,346.95,73.7,74.15,248.85,298.58,108.86,52.95,84.09
2442.59,1208.64,2502.97,850.98,933.02,1773.63,426.74,438.88,1381.43,229.27,302.81,69.89,70.92,232.49,289.46,94.12,51.13,79.53
2033.18,1292.33,3539.96,972.03,1172.2,2237.06,492.31,509.68,1468.06,266.74,337.71,76.24,75.75,245.4,291.72,117.37,54.78,85.59
2653.24,1204.65,2870.18,896.66,1074.32,2076.56,453.08,462.48,1466.98,240.41,343.87,71.58,75.75,244.54,299.6,98.66,50.21,84.43
2192.78,1114.97,2792.56,867.62,1049.85,2047.64,455.23,464.99,1468.06,240.43,342.85,71.16,75.75,243.68,298.47,99.79,50.21,84.07
1792.91,1023.3,2583.56,838.97,1030.12,2025.93,453.08,462.48,1472.74,237.75,357.22,70.31,75.75,241.9,300.73,95.26,49.3,84.07
2229.21,995.4,3147.84,823.26,1107.47,1895.66,449.32,461.98,1448.16,237.3,355.16,69.46,73.33,247.99,306.36,112.27,50.21,88.62
2480.76,1336.17,2720.9,916.59,1071.16,1967.53,414.38,401.72,1324.0,206.97,355.16,66.5,75.75,233.35,308.61,91.85,46.56,81.8
2396.62,1142.87,3292.15,892.56,1121.68,1997.48,465.44,472.52,1469.23,240.87,362.35,71.58,75.75,254.87,314.24,108.86,50.21,87.86
2129.46,1031.27,2998.56,730.87,927.5,1915.12,464.37,466.0,1382.6,232.84,356.19,70.74,73.33,254.87,317.62,108.3,50.21,82.56
2302.94,1336.17,2720.9,916.59,1071.16,1967.53,414.38,401.72,1324.0,206.97,355.16,66.5,75.75,233.35,308.61,91.85,46.56,81.8
2196.25,897.76,2771.66,768.75,980.39,1876.94,426.21,430.85,1350.99,218.12,292.55,64.81,67.69,236.79,272.57,103.19,46.56,78.01
1987.21,735.34,1881.94,427.8,717.53,944.09,244.01,244.55,579.5,124.9,143.71,34.73,37.88,114.52,125.02,60.1,27.39,50.75
2374.93,787.16,2231.26,210.96,780.68,1125.27,279.48,289.24,698.91,147.2,152.95,42.78,39.49,130.88,126.15,74.28,32.87,55.29
3250.14,1302.29,2847.29,937.98,1091.25,2037.88,496.84,501.65,1477.43,263.75,356.19,77.09,76.56,256.7,306.36,102.63,54.78,85.59
2323.76,802.1,2176.52,479.54,749.1,1045.91,301.52,304.3,677.84,155.67,142.68,45.32,39.47,127.44,126.15,76.55,33.78,54.32
2371.46,990.42,2379.54,567.32,916.45,1190.4,320.86,317.36,820.66,159.69,172.45,49.13,45.93,145.52,165.57,76.55,34.69,64.38
1770.36,692.5,2218.32,466.61,774.36,1090.83,284.32,271.16,655.59,132.03,149.87,41.51,38.68,123.13,126.15,68.04,29.21,53.02
1811.99,836.97,1938.67,516.5,820.15,985.26,359.02,358.03,934.22,175.75,196.06,53.37,52.38,152.41,201.61,73.14,37.43,68.93
1543.97,698.48,2143.68,496.18,763.31,1065.37,323.01,324.39,855.78,157.01,199.14,46.59,49.96,156.71,190.35,77.11,34.69,66.65
2371.46,990.42,2379.54,567.32,916.45,1190.4,320.86,317.36,820.66,159.66,172.45,49.13,45.93,142.94,165.57,76.55,34.69,64.38
2313.35,826.01,2183.49,502.64,777.52,1069.86,306.89,298.78,742.23,150.77,156.03,46.59,45.13,142.94,161.06,74.84,33.78,62.11
3282.23,1233.54,3233.43,872.24,1113.0,1743.68,486.4,491.61,1449.33,254.7,353.11,76.67,74.95,243.68,324.38,119.64,55.69,89.38
2719.348390308274,977.8721275767967,2170.717476292057,732.3533261771977,893.8341858649841,1701.4807567796695,375.21582188074353,364.93247749632695,1360.72131379359,165.30445545331955,317.67032702904345,64.1186732921217,75.25818036674451,243.79345588524455,279.8327790017187,82.06420565717075,43.96472772523889,79.32273897150831
1851.1318602561923,841.3096903173172,1921.1861490165284,524.2136656983771,819.6722591247905,995.2165936992385,360.2237406211141,358.3462712683776,928.5814024884445,184.36660794537013,196.33929130718806,56.376112563411176,47.32940597729546,153.27202454695285,204.70027209070275,72.82504157764046,37.38070578916907,69.91149770769533
2388.2324337093883,982.9839236905044,2390.1205596286377,563.8200242781907,906.1838237667914,1167.9912517586313,321.4368437062431,312.4028143820709,823.2463422696524,174.67067923733524,167.9853259273117,51.79976840959466,48.72827997721754,144.48002844956406,167.62828335473668,74.0672170717497,34.73370999282115,63.930946331672246
1649.2666653730541,1065.4199732329232,2471.721614062771,807.8323364516061,967.7852981118375,1722.0455785892723,426.03724574444095,441.6431669191174,1215.2256606323288,225.5984108498469,290.9405103935292,61.90884759467323,67.33907429058364,212.51858062553302,268.57420714900866,87.45471925132335,47.09388971068305,76.04517729754025
2386.240149971081,1033.0146980990387,2157.307829702329,715.2528272904912,830.5981552685338,1364.460529320795,327.62789322552374,329.8816600991515,1198.79395782588,171.95204746076305,297.62349940000706,51.14304382582305,69.46156567113094,225.8980460459639,274.8669868544114,62.519543434630584,38.17225867337181,76.91476633336706
2442.5528579230754,1100.060968904431,2236.0131075786335,831.6715209150278,980.6852921325111,1516.5492031345814,413.705796923289,408.7225504506964,1409.8022574867427,65.78784764942812,80.16919782037623,340.0161932001748,75.11473152413204,244.03156118973246,285.6768608083642,80.49442345678462,46.23201041151161,203.84150014808324
2270.952325898405,1018.983081357669,2185.19544807835,702.1299526704788,839.0732364205186,1378.6490199724537,328.8943038445029,329.2480424094283,1196.2135571071476,161.87292650795507,293.6033928135468,51.38394500277768,71.132500842896,231.28213628065896,277.100996532721,61.60108533536426,38.778686339578734,76.21117580499283
1846.821679145985,759.4174839844152,2214.3156127908946,534.5471273389419,726.0033957298062,1113.9102814470282,347.572809970263,362.3047651711864,787.3760629155862,186.41216275070218,184.66278493239594,50.08908722686877,41.23000466363267,152.6206961581046,192.64011794393704,84.23731047149901,38.431583625861734,56.659319081545796
2504.1919972002684,1129.5773644631086,2796.345323389411,848.4311946744748,1018.4830420271383,2033.6308734306497,427.8434459570013,433.24017119747185,1351.7915370489668,223.15610272176608,255.97483194429304,64.69165243655283,59.97854146281282,220.7272941737778,226.43812830119938,92.24794914230594,48.887251322958846,77.23665701121983
1890.87137201936,953.7422878156963,2196.0856905622054,698.367221903606,1039.7828586659755,1265.598113853238,399.6782412598538,412.3665002270708,1181.2720393077202,206.0035672733378,301.0578434640921,58.903244386982976,66.29256189833109,176.04674975930936,220.60670791447654,72.99545099297033,40.954131165072994,85.25690418442356
2697.7676884773305,1235.4626008056953,2198.8547728366398,860.5313291606177,902.4920793636179,1356.7685339317377,398.49342901736605,398.8082722995006,1274.4966498508504,215.93448209575078,282.9470674340692,69.73797988221473,69.53011129179735,237.57131070952158,299.20288071448545,83.38461166307569,47.39538540157813,80.7105039496552
2367.880451304271,1087.97012969661,2437.489988655375,627.1948294202218,921.97902518082,1192.7860862721043,350.8786065997064,352.9984675642539,956.8507423706959,160.02594131420983,236.41342476709977,57.1320672578301,52.768470675328025,173.93781312069373,243.6734644703885,84.45086474243024,39.83429165924452,72.47411728033254
2355.7426942406005,813.800801353015,1996.8098581686127,690.7642401652457,847.3208248102591,1677.7656730635804,379.62806993803684,372.0111991163168,1342.2311721773071,189.79713221465317,312.53119054108424,63.31086509185879,75.42404315373008,243.7657191772782,283.04410543249577,82.50338337925417,44.660272667013295,77.80287113448914
2216.567042583448,1085.9815327049625,2464.204877123609,660.3765326893126,999.518890438885,1198.1498773646342,390.1047306668115,392.11060376026444,993.4595235694962,208.56972347460908,247.86371703032412,60.12229703991787,60.170658143997386,166.00346077025696,222.90900160713147,85.07050159312692,43.711458421976786,73.91542362907974
1568.734527666812,891.3541150877838,2009.8718273276882,643.4704740820105,1002.0933944135813,1268.8622880257192,380.3783076342582,389.26420021287225,1199.6752157721605,212.94705690769,297.7004957142528,56.934187903258525,70.69431956481638,177.0424652367414,216.50576563652314,69.52182592034362,38.78530975655199,82.83805886315251
3132.0263511213434,1110.2374541729719,1963.443614743845,633.3425873844369,759.7170066997221,1098.2735862089778,442.7167770602328,440.7635608294592,804.7828207082315,203.46405402831348,266.49709887093843,63.426676277406266,59.99488789434584,169.46411377993246,302.87343240402356,110.66989982879403,49.53867677508597,72.48885766494867
2184.836371604009,1102.3104791557012,2785.4150864576363,874.2813067442032,1052.7638359034888,2049.7622342354703,459.06161422550963,465.60305880952274,1459.0817089522527,232.00317679410637,343.380881927066,72.97097885308533,72.07021095178384,245.4196775818634,301.0164508031308,99.14035491195375,50.12813736011656,83.8222777479104
2087.209571722861,1031.7100032498254,3030.0068557448735,728.6315023740448,928.5604105257107,1890.9951127706584,462.78630950469477,460.9192663335961,1384.6078296882404,222.21375944356808,353.6603069575221,69.93517886071977,75.65930964368759,255.7970819861002,318.0871185727361,108.07921592693069,49.616001287544954,81.66360641264852
3249.858585912737,1314.545624584322,2954.2793600779355,948.5376419847961,1118.481682160427,2059.6459284239604,505.51152386757633,513.3252207249112,1477.9003258094754,281.1725923438232,331.91217771870777,76.74172822618603,78.0835653366542,262.27047354951907,311.194699311613,109.50512339594432,55.57911051586241,86.33686222741817
2018.0888920071502,714.0315186062232,1919.4162411505602,483.2538379844506,657.4427758715904,950.077592112865,284.9295315034379,296.5762079797397,634.3297084641272,150.63857998023207,143.85782568227364,42.79957140930284,42.58675667277835,123.57316607098119,166.02406571018443,74.13919634961607,35.57729933979567,53.64419856602271
2499.618564336433,968.2935512904519,2778.1449307485855,612.2408277208366,890.612836359489,1339.5984018011663,369.34992448570966,387.29843222655035,841.8020492900217,206.792354980659,231.67309715485186,54.11180206896241,52.45089968370334,193.69107381727662,186.164296275836,155.30171878506886,43.56099329838671,71.38088021595783
2401.7747331981877,1093.9584861691567,2252.7190596755668,846.4060160347902,984.5672137354361,1540.249281918969,422.726366604936,404.017260052017,1390.9991907400668,76.71376414980767,84.3313587732275,342.8623744900717,78.32238374346429,244.15636873625246,294.61258263160784,81.9507026053153,47.00812778136668,206.95275813456092
2724.526827860812,961.671217783614,2185.652234021371,739.4637365104597,884.6574673902052,1719.4591221762475,373.5298925012026,368.79554774161977,1351.7633654182598,185.8494155131256,323.2994092776587,61.3624220073922,69.1101658140043,244.834590427938,286.4730673338231,81.92871271912193,43.55732670166431,80.52472618641194
3110.3917717203185,1253.2023045896635,3070.502329043307,917.9114968683525,1063.3829038996203,1937.029294977296,464.63333922953507,475.5601737771582,1424.1580017831543,249.10283274489754,335.68291889145456,69.9039958451512,79.27040016195173,257.380910025174,298.3774609075533,107.9692417317002,52.88273435206879,82.3501882572806
1620.8989922791973,1071.2306561834232,2449.6107142042706,814.0390061500154,951.6011418388498,1726.1275797931894,424.79793482960304,437.18754743146707,1223.2855706455541,239.5826767172214,295.6077871858332,63.40466031183183,63.47552625835274,213.30470291873783,273.9521488810846,86.50776910062795,47.67994231595105,74.78330975814569
1765.6864673055145,922.8581141564762,2084.2276379961977,673.7787425173343,1001.9146454307594,1247.572279028573,372.5245096846534,396.1289896916975,913.38320637293,216.34232576905606,264.65590710265934,52.83296670182184,63.182695712505236,158.2401478745833,207.5505622143788,75.46533748442359,40.94995854249178,81.62814928908763
2319.4258485872124,1095.6845635866043,2436.980798317747,629.6971220429729,933.13824224723,1143.813651554425,352.74528688121273,347.84808134269434,970.3173829660584,179.1895744378262,239.76459404567274,54.201631283357074,59.2266386782062,171.05819267133006,242.87621272002517,84.21896436219713,39.03886387288637,73.92503168975692
2302.726888579926,849.8747274659924,2167.6739090670267,500.1576460464256,776.0230167085094,1086.1557148029865,307.5534265135214,300.75649041432393,751.0263552794221,160.17745675466995,152.47948384224708,47.702495868668755,45.40887588443511,145.9816459800202,160.8832936845311,77.10513665844196,34.04998052536188,62.84489867914689
1607.7610418661325,908.3639851908365,2001.4726702273065,667.6454020092467,961.4313313903522,1436.6576073567962,407.48760998036835,416.9147998236176,1104.3876849248213,2206.7153808943826,285.3461494979012,60.23273851527204,714.7896677659664,169.53103441007886,210.8659619573633,64.98068481604169,41.311514636513955,88.11375318869639
2321.725722161392,1104.1938272672082,2438.7230772500407,633.9210634054256,925.387342798348,1145.250624334413,354.75188205519555,349.2737282669273,974.3312324644407,159.48106709557493,233.50335494464406,56.840796539384655,52.29279419094116,175.6537292571342,238.60595723924453,85.29618820474424,39.21779600649628,74.55172173779248
1043.4232308350952,653.4240501398431,2039.622381140431,481.313811898291,832.0609150311041,1127.055973799356,332.72403652557136,358.9012250905141,940.8604438280927,184.10037296465177,227.99715478510035,52.293767270355325,52.51922062371628,166.0721569461308,229.06450332135768,81.67190025498917,36.75071394243849,73.42692633532606
1875.5259867141472,1075.3052271714762,2171.455960230613,773.8302920540435,881.7623713251124,1203.3235938033608,420.49947949284126,432.7784237265218,1463.3295387957985,214.38651287675884,345.45841060481627,70.41549254082888,80.05067158534348,219.62066730477636,320.12459393043804,87.27717675476146,49.51954824764974,82.97792266970653
2881.8886424467514,1143.6389551428392,2310.055627458286,821.3760440504157,912.5285237102229,1627.886084659261,368.4634476006912,361.2997543013259,1432.6202468384806,202.78668233387216,343.9307749388557,64.87600445975993,74.2738191466992,263.5664638100312,321.9263884679508,90.65165895201129,47.83739911179129,85.48431768052552
2306.8762736432514,845.83645633002,2183.4152330259926,507.64169035739496,779.9009412314375,1048.9191634750061,307.57159701281336,294.6608431319941,732.9548710611392,144.6206953794379,157.31563787873202,44.46540056075285,54.75520694002778,140.03539278046736,157.7914733123678,75.68846930360992,34.37605583563522,61.00158299710713
1908.9702397830276,1046.1089609550525,2291.786189211933,673.0431285354728,1054.0622073184427,1274.3029813947862,375.16895646197304,358.24871829804766,1044.9117851962346,198.64834059331747,287.730072148738,60.95538628689731,66.5693391652555,166.35117915932548,222.4438511295234,75.77302008663095,38.91566772318678,80.44297264261179
2061.457183869048,1081.9040892202693,2327.622959215719,729.3901054339883,1132.6958313269693,1271.765170830671,360.60001093589625,375.45299543293544,1171.1008936254534,210.1846655429683,247.32863637861604,55.49937443686777,71.96570111268485,166.2421301979666,205.48047898158424,79.77624496641175,39.76063852378493,81.94125840077986
3248.763126561783,1301.616919756947,2814.2069631513214,936.4783320360276,1090.411265531214,2037.1785627902523,495.41603219188005,503.924169090924,1489.7463581393033,272.1079286360477,358.90723199807593,78.67004146187381,73.49502467067886,254.98730231654878,301.31341686848884,103.16772851023224,55.282712857609766,85.3760466959275
1808.2343829470176,1045.9307379072568,2565.5203779638277,663.9527837429457,997.4201458968081,1219.0131767840437,358.14272290419984,371.88384870744187,834.40652582105,192.2050693589843,217.4471604919661,53.86847149565774,58.00495583290029,159.06529393542476,234.67120705284475,82.29880753420608,39.245104846741306,71.55482780386883
3295.780600472726,1301.2350737943127,2951.640035866874,945.6829440292142,1116.77882743573,2040.5034508735193,499.0657941367729,511.08123947050217,1470.5661037150712,267.6107336707036,336.10803675065745,77.1219035263832,71.60737165785272,264.2727578697342,303.59469731518635,108.55080222009394,56.05004405837631,88.90335703027964
2586.4073999653597,1182.60587577012,3021.8772667660396,900.0263496242227,1080.3124974157643,2069.205983444406,477.2000696148782,490.46160389623316,1432.4248368097667,248.96392976577093,345.64816036856496,73.70181016619254,75.95638689885148,249.61484662521985,299.866973508023,110.31973522795809,52.61041596944449,83.18004034940657
1810.1316615746684,890.0315317883542,2071.185399119115,686.9320526322792,1008.3256904391249,1264.5770716053028,374.31304381037705,397.8090210075354,920.5592340954081,227.86523338590803,258.6495253338366,55.41412805217995,66.69389867888749,159.24684326106956,210.53732276506335,75.2746807006218,41.43280707583309,82.00344820853232
1810.4561838820882,1028.2495273365362,2581.418020102506,676.5175642323576,985.641997119723,1249.3656698072678,355.30530482272695,372.6466570102781,858.510181439083,188.79045275952225,218.48004984034245,54.21436149300154,56.74563758320776,157.46428105965734,238.79087339797357,81.43527594238218,40.226791860050376,71.36511436548575
