pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
5.1,0.06,0.48,75.65,152.4,4.0,3.0,21.3,45.51,16.92,1.23,0.55,0.6
7.82,0.07,0.42,25.63,545.4,12.5,6.3,23.66,4.39,7.51,2.47,2.27,0.75
5.18,0.07,1.34,10.16,72.78,1.6,2.3,12.42,90.04,59.58,2.48,0.44,0.81
5.18,0.07,1.34,10.16,72.78,1.6,2.3,12.42,90.04,59.58,2.48,0.44,0.81
5.18,0.07,1.58,24.7,109.17,2.0,0.8,12.42,0.71,9.61,3.94,1.47,0.64
7.65,0.14,0.51,24.7,702.24,7.3,2.5,57.93,0.7,1.46,1.17,0.42,1.05
8.18,0.14,0.27,7.53,209.44,10.4,4.0,42.68,1.95,0.72,1.05,0.29,0.69
7.95,0.11,0.21,4.73,258.72,11.7,4.6,82.93,2.51,0.51,0.42,0.13,0.75
6.31,0.12,0.9,5.61,200.4,13.75,7.0,17.91,29.44,27.23,8.29,0.71,1.02
6.68,0.08,1.29,4.38,331.2,19.5,3.0,7.68,31.67,22.84,6.16,0.42,0.67
6.95,0.08,0.84,11.39,83.16,28.25,6.25,11.94,45.31,24.38,10.01,1.58,0.6
8.4,0.19,0.42,5.78,748.2,62.75,7.75,11.94,18.56,15.04,2.45,1.42,0.43
6.68,0.26,1.2,2.98,236.4,25.5,2.75,11.94,38.95,22.12,7.6,0.39,0.82
8.85,0.13,0.98,67.44,172.48,24.6,5.17,7.45,2.1,5.39,0.86,0.32,0.73
8.42,0.2,0.27,77.08,283.36,5.36,4.54,28.12,4.2,5.35,0.59,0.95,0.6
5.78,0.07,0.77,78.83,147.84,5.04,2.06,20.02,19.44,56.1,2.14,0.74,0.56
6.56,0.26,0.44,55.01,219.06,3.3,2.9,22.41,14.23,10.56,1.11,1.52,0.92
6.77,0.6,0.22,26.8,316.42,6.5,2.9,43.1,2.08,28.91,1.98,0.69,0.3
7.17,0.4,1.16,39.42,328.59,9.3,3.3,13.79,5.86,47.3,1.46,1.1,0.51
9.29,0.27,0.51,14.89,146.04,6.0,5.3,19.87,4.24,5.54,0.2,1.43,1.34
7.07,0.17,0.39,40.12,121.7,4.0,2.0,19.87,14.06,10.23,0.51,1.89,0.49
9.39,0.75,0.6,5.78,219.06,11.3,2.0,16.56,57.59,17.27,0.92,1.34,0.73
9.08,0.26,0.48,9.69,376.92,37.0,9.5,30.76,4.29,4.71,1.32,0.8,0.84
8.9,0.17,0.42,33.45,115.8,13.5,8.3,18.14,13.11,3.05,2.14,0.69,0.77
6.37,0.1,0.69,5.31,345.6,6.8,2.5,17.35,27.0,65.14,2.2,0.59,0.43
6.36,0.12,0.75,17.34,221.76,8.16,2.13,17.38,10.06,11.27,1.65,1.06,0.83
7.77,0.06,1.08,27.5,221.76,5.3,2.3,10.76,0.6,5.14,1.28,0.43,0.6
8.16,0.25,1.05,21.9,147.84,6.5,6.0,30.63,9.18,8.47,1.56,2.04,0.99
6.99,0.04,0.09,39.77,320.32,4.0,3.7,8.28,3.51,4.76,0.39,0.42,0.85
6.71,0.28,1.095,13.31,300.0,4.4,3.2,6.9,18.3,21.44,2.51,1.54,0.36
5.09,0.05,1.152,16.64,204.0,1.8,1.0,6.9,57.32,76.3,1.63,0.64,0.51
8.69,0.31,1.362,9.46,264.0,17.1,7.0,17.24,8.2,13.45,1.07,0.29,0.43
8.53,0.19,0.42,8.75,450.0,20.5,11.8,20.51,3.07,2.29,1.47,1.48,0.43
8.09,0.17,0.51,36.26,470.4,7.8,4.3,24.45,2.22,2.34,1.24,1.23,0.6
8.46,0.25,0.63,15.0,586.8,43.5,3.0,18.14,3.2,3.51,1.97,0.64,0.68
8.55,1.17,0.96,6.25,777.0,26.3,16.8,30.76,5.14,5.28,2.92,1.02,0.77
6.93,0.09,0.63,30.95,334.8,8.5,2.8,9.47,10.47,10.1,1.38,0.67,0.48
8.47,0.18,0.48,7.88,771.6,53.0,5.0,15.35,4.81,1.27,2.57,1.76,0.81
8.02,2.23,0.24,45.37,279.91,14.5,5.0,26.49,27.39,4.18,0.67,1.91,0.81
8.72,0.15,0.6,14.19,231.23,8.7,3.5,19.04,2.92,4.65,0.47,0.85,0.49
8.78,0.23,0.57,57.46,438.12,30.7,3.0,24.83,4.23,12.64,0.65,0.44,0.24
8.61,0.24,1.05,14.89,766.2,24.0,4.0,19.62,1.99,8.52,4.41,3.56,0.93
9.01,0.15,0.36,4.91,396.0,40.0,7.3,11.09,7.01,2.09,1.79,0.43,0.73
7.0,0.12,0.45,14.01,654.48,11.7,4.3,24.74,15.36,18.4,3.31,1.3,0.6
6.03,0.09,0.78,4.38,206.04,5.8,1.4,3.41,81.94,20.24,4.19,1.82,0.55
6.06,0.11,0.27,13.84,266.64,5.9,2.3,14.5,40.21,24.58,3.54,0.66,0.95
8.2,0.23,0.84,26.8,219.06,5.3,3.0,27.32,19.4,3.47,2.44,0.5,0.32
7.67,0.04,0.93,26.1,450.29,3.2,1.6,9.93,37.94,10.6,1.46,0.64,1.17
5.36,0.06,0.78,19.8,316.42,1.5,0.8,19.04,41.24,22.12,6.28,0.49,0.67
5.04,0.05,0.27,4.91,97.36,0.9,0.7,8.28,13.26,13.39,7.07,0.64,0.51
4.93,0.06,0.78,27.15,304.25,2.1,1.4,17.38,39.19,24.58,1.24,0.13,0.45
8.2,0.59,0.87,8.75,346.2,15.8,8.5,4.73,0.99,6.8,2.0,1.78,0.05
8.54,0.12,0.36,10.34,506.4,,25.8,14.6,4.16,3.25,1.28,0.27,0.73
7.68,0.32,0.6,31.71,582.0,,15.0,8.6,6.27,5.39,1.27,0.73,0.26
8.27,0.16,0.36,8.58,396.0,,4.0,1.9,1.18,1.4,1.0,0.75,0.37
9.41,0.42,0.21,8.75,718.2,33.5,14.3,11.04,3.7,16.56,2.09,1.48,0.63
8.54,0.07,0.36,19.38,217.8,6.8,5.8,48.11,1.84,7.29,1.82,1.31,0.15
5.6,0.09,0.69,22.42,197.12,5.81,1.63,7.45,41.17,48.71,2.47,2.65,0.97
6.895960459091246,0.042771046144143385,0.11491260197359462,39.02846483457596,325.62610383318497,4.824513776432976,4.283568403630313,7.590481116503172,3.6511311713372754,5.18878688972823,0.43989309005180155,0.36591332598781845,0.8471507989176451
8.682248195468842,0.11803913937752739,0.5833790282577413,13.005048241202589,293.85522494454716,17.36214825235754,5.351280480862583,17.563236248678166,17.994630942080384,2.0797402592255447,1.129661359894702,0.12144444210063123,0.1940213447551932
7.095033825517104,0.16021608481289137,0.3841765717943153,39.39429352769915,131.77833351746708,3.8868353931116943,1.9917033375693673,19.443070779455063,15.056994734764007,11.320485011800539,0.3919254009480836,1.894247501001064,0.4821816460469075
8.467180284921964,0.23769221561787143,0.5612552122921708,4.008773103221579,583.7302559330442,41.2101740601249,23.83804252347327,10.042847406100998,12.306940580036418,5.985696848810937,1.9814775284129613,2.037485809901865,0.305702594899107
7.756598726140858,0.09085366831223884,0.4407174210393435,26.95779141197176,551.029797572661,12.436607144065363,6.231373054930654,23.52295927876417,4.419636476770081,7.949381546510502,2.506845389284629,2.2579875317354974,0.7450783339594235
6.3091219579098174,0.12520953080655658,0.9172015006172826,5.574683126575221,196.8398213640927,12.930814648580917,6.9507790298584755,16.239121562250265,30.06715444399589,27.714416257789285,8.322914247280213,0.7484786641394685,1.0193278476838452
6.423820668463916,0.13317244074387197,0.7696513152435297,18.659941534192143,208.80055022766678,8.442735902013512,2.1907080330191295,17.092114344619525,9.915763944814097,12.037989194878365,1.7413261368002966,1.0737393085852296,0.826373734140306
5.9045476910844075,0.1667554248494197,0.3035769365039697,82.09972771322599,363.1990029404461,5.62153886155447,0.29974369910602405,13.10856722783587,48.48853917591359,35.945094041801184,3.1713322486895885,6.860806298044058,1.141706859301457
6.681821158932896,0.5786282624414649,0.1894283619388442,26.39467196051488,329.108371675395,6.818394411716665,2.8954683690200054,43.25538889545544,1.1311807457792753,27.412670770026605,1.8277697692536883,0.693215267826512,0.3042979571713567
9.321108618557638,0.4395889023929597,0.20278280428621948,10.251719626720842,721.9040383694996,32.48888971328878,14.2147222787224,10.685571845607535,3.1769488673015394,17.299044917081705,2.136426310758541,1.4799281708027539,0.6333255773814473
7.0225376013153324,0.20421835525633045,0.8902343780255452,62.72353945552456,298.39815181774316,9.136471194097219,4.350968289840804,13.855561210869478,39.15820244932329,24.41846356998627,2.7530716790239977,1.3179753489238615,0.6872660838838979
,,,,,,,,,,,,
7.177390575265618,0.408412992794592,1.1593558073448573,40.789667944926144,327.06499180769123,10.036800608316392,3.373052202796,13.435428265822223,7.686551894762531,48.82871156009803,1.4082075544001198,1.1389504044098209,0.49177281247985527
8.896808537074975,0.12879409068269304,0.9886594561399629,67.78227661579237,165.22239544219684,23.769210591245564,4.7247317063134,7.1082371881020405,-2.3534106376245645,7.69303148144383,0.9940409959500746,0.3243958790992792,0.7215638798240152
,,,,,,,,,,,,
9.47581037280286,0.4206418047683545,0.2190247123133015,7.1209576106171655,733.9369640598686,32.35930656749058,14.20091206608064,11.194294095683283,4.110686565281688,17.4443822565205,2.137999341631276,1.372237328677334,0.6283829506764722
7.059321801728006,0.17469451932208435,0.39755999239970463,41.332105291148615,131.06317951273584,3.265057706546173,1.9326435460888558,19.86505418534385,12.096258430113195,8.617401092665025,0.4880671464647933,1.8172865326464809,0.4568378786437584
4.790266261049916,0.039751983511369236,0.715233716428311,55.541029438634666,95.99659422734003,3.632184321494306,1.0557335632292508,9.187740310743754,15.392583632792707,19.351989407996413,0.2537574041934283,0.6887507334863647,0.08404694335190328
8.81494105296966,0.1296117358161066,1.0022662365564008,65.44643640302853,163.04351464976705,23.67863974295369,4.937712427352048,7.286180480681913,0.14415669757768668,5.496452849054835,0.9065032707732658,0.3064789422623483,0.7459555314416394
8.276214901721454,0.5942282749584201,0.8762053684012451,8.486316866488846,339.3903801273825,16.18060754618814,7.9288312752545185,4.365044495731302,0.3419102144056232,7.533011114712771,1.8863723031819337,1.7841310514819948,0.050018047809166945
7.743259372417121,0.09127613358641663,0.42008909671899686,25.41436849064992,558.9691874127777,12.855864185419522,6.298999785532149,24.16465698896412,4.582484863952416,7.970918807739432,2.3664932345155227,2.225019696630872,0.7304014678591606
4.911520391709466,0.04570196562602346,0.4899328017321582,12.132156806001689,78.92320978756574,1.2680332283338382,1.1280842399223445,3.1209563171240258,25.372128113875647,16.318271561501927,1.346429128390965,0.7093290225549097,0.7851336276384335
6.558828417711337,0.011651939959307096,0.49397993605546264,31.872945026756323,223.62601651865273,3.2510254094243947,1.9140695871284081,11.615124731585505,5.693389744531858,11.80815319963897,1.6848288545854564,1.0019471872280483,0.2737565665510054
8.738310574897119,0.26255744100095185,1.0373485362615873,14.487120192730691,770.7357682927499,24.402692389041682,3.845061227352832,19.43882794484764,1.181333541384408,7.343536516377185,4.404137511446809,3.578084470476926,0.9438449875068159
7.791544494091937,0.4579454423602838,0.5960528550061666,20.940745257074745,344.48269352265123,19.955739365414335,11.049706488828472,15.168301730543094,-0.637207074800271,12.572741212781947,10.324071768201357,0.72712862616912,0.24748357129514176
,,,,,,,,,,,,
7.224598294737606,0.41503845911465526,1.1853303069878323,38.75801180126279,334.78032952669173,9.164638874837593,2.8215961378554804,13.725712873300166,3.8285632583152895,47.74346071621028,1.5065953794329796,1.0848488536711143,0.5051630451897958
6.075152379018091,0.1027442151310456,0.25878677238422687,14.066828108524277,256.3331996412906,4.579987962905724,1.9451043569012092,13.795048288753517,37.34691131403374,23.849216498297995,3.2870417788056274,0.7177994542130005,0.9699652583688916
4.99262183901417,0.03576746037564524,0.23616114064054056,38.19552396798713,101.66474743056874,1.8561641273106453,0.4746208252498342,25.59962952254211,-2.0629881512020143,7.621084036762956,1.4907917297397666,0.5630564450779124,0.3659434969706732
6.7222703786559075,0.12114705317859652,1.070044623719908,25.997229028588475,448.79593630443543,5.742886656912585,2.279701745454327,11.830740406948294,4.784372506134972,13.390943472237462,2.343237518016203,0.8331392803022706,1.2161210130473301
8.037256189853919,0.20779381321399304,0.49173229231746457,35.81789988720144,471.69683568800076,6.915316498138923,4.434649330447599,25.109703300857767,2.562348550211646,2.6189886199746875,1.4214845377910184,1.2341633024275884,0.5923997443931878
7.232142753871183,0.42021477794961426,1.1723633911351845,38.19951330342496,330.74370898298474,9.391683964454451,3.4665862725868477,12.798941251219633,4.514939145822807,47.95942542116589,1.5986002250269276,1.073616155679917,0.5246489303899482
5.994154376227487,0.1839251512950636,0.3262980251554483,82.45519507409456,386.4245693190091,6.045867083820064,0.3644092237172071,13.649604400382533,47.715262327303655,37.04984818023269,3.1647295885087194,6.6958365972906595,1.150059920488571
6.372128143780303,0.030400555003446846,0.4711317994154538,34.754598193106965,232.8619507344174,3.45936119300071,1.6388218901268905,11.32649108566818,7.532729639934403,13.177893627258118,1.7090670685211813,0.9521872763653626,0.26695744074600963
9.125978131838327,0.24324391962477176,0.4828924251365355,10.024156838357271,381.37279330080077,36.84192293478177,9.57714770187425,31.268344454307435,4.417505931962499,4.348955397897765,1.301259600975279,0.8311932499536893,0.8382627137807805
7.893668702471185,0.5243939843637021,0.4827413045514085,4.41769763422938,116.71109380027,43.12425427036699,15.585925442503939,14.938327082877588,8.95921651268298,11.356163527391875,1.8910676534869464,1.3174652936690965,0.5143226151110846
8.485515913736132,0.24400081818659503,0.5239570144177765,6.978452198447738,587.5308892430777,40.31399814422983,23.92382166485105,10.264654660535157,11.933509957815447,6.932247806868475,1.6856640011579032,2.0575490159635996,0.3121292491691299
5.194412183774125,0.030173387793283983,1.1517316470884211,17.020063330801964,210.93975305972327,2.4171163244256255,0.8063945035684355,6.6572687187093065,58.599723677484,76.33919122705518,1.598109079941638,0.7035606216354797,0.4889668134933015
8.632615111519327,0.10833265846626747,0.38410545118140776,9.095468227812924,511.8334396899415,,25.787763066263476,13.921285043785714,4.168008850539369,4.4766599633352175,1.5364361425690292,0.15794833899075042,0.7255135433288462
5.320645280543221,0.05227541864743378,0.9921908241633679,19.91561192471763,35.57556630803736,-0.19865389235431996,0.8126521597686939,14.908967778751606,38.74810885547672,34.355186625067304,1.4111106813180543,0.5411575953979071,1.228653969188885
7.019015274758209,0.429623537932103,1.1442983753245053,37.647242563019915,330.1252278207053,8.153898343606391,3.735878608339509,14.253710563320086,7.836371126404284,47.83070449427761,1.3332936350732072,1.1576391751011368,0.5111698766877378
7.240717704750497,0.4125714399482129,1.162646657829338,35.96224561753174,325.5497651217795,9.248506581182147,3.338624903713658,13.438719739693052,7.64793008593907,45.30328370017031,1.4525078041488144,1.0765130221432644,0.5319632464721434
5.307021885726436,0.012556459549134296,0.33599242545108143,0.7024524545389423,723.1432441959033,1.4528203188686886,1.8622464642332157,27.831162370609754,0.5802553586913096,12.887495620330013,0.8317235269749859,0.7152621026720087,0.587979465795895
7.892610434245905,0.390113814861547,0.9244148201455651,28.777392753506174,388.85028333383667,6.161378738646489,2.1355920279671086,42.05343278531185,0.6045944613914391,8.692798702683103,0.8859927737780179,0.7637300186778627,0.4649667849927915
8.46197568548266,0.19345131115390587,0.08259317544908326,4.29318873454868,113.03936175808788,72.75230341946717,11.303891044329422,4.4701108168432615,15.93398566156485,4.090660127342889,2.3896704625228566,0.6573131968105896,0.5586212673962012
7.19564976796842,0.41600463509560276,1.1778572019282485,40.003195645257364,330.52886709703546,9.641481164620597,3.0059443076472445,13.788057314519962,6.055942032230741,47.27522008037918,1.5935051609586806,1.0884732447758672,0.5200198723255544
8.464747910947365,1.1770225899331288,0.960428457466349,6.668646318907629,768.4168886716318,26.638029553026357,16.965874061514157,30.42750801649659,4.449745509833644,5.741791845483065,3.106499150186142,0.9762511428761841,0.7517515669598704
9.17402615766259,0.2792904949862166,0.5045595836140799,16.632272501713917,145.47218087905296,5.039277858807094,5.505767232331682,20.208414742205466,5.495596294518979,4.913211121081101,0.063355348158919,1.51314099874572,1.3486283180116208
4.673367919940001,0.0825244264080183,0.7196716687995643,56.767471443197394,105.66137061845635,3.109669891915678,0.8200838143589331,7.79832372307115,20.73425935769121,17.604668549920813,0.4048038237120598,0.7282448099914764,0.08066948389244985
6.8813832477752515,0.21251527410260318,0.8700385994230213,62.91157928228657,288.4911166674433,9.711252426057046,3.8400459143427668,14.152859406243088,38.5328768457458,25.534468328559143,2.8183567965691365,1.1954572714775717,0.699560981820306
,,,,,,,,,,,,
7.615386342813181,0.042784569778067605,0.9240319896658977,25.69048623074634,452.3515407108065,3.906120033077995,1.7762603734177989,9.2809300898839,36.97648408709228,11.048967784917858,1.5219291911137993,0.6466925196289881,1.1604395333631963
5.428808079079383,0.07546524417916756,0.8376705726646209,80.06964450047475,134.48707086143466,3.805365292902792,2.829844616962587,4.773221944758343,15.293531256422792,45.07958144714251,1.247501507758745,1.1901789065191313,1.0011881395681
6.3806452308656265,0.11936058634306716,0.7878341427722705,16.667971748793562,226.00061508399313,8.054408316707288,2.249267250533636,17.01758323515516,10.246396700861652,12.145841040548069,1.5854681943332176,1.2282758917315697,0.8190303790299782
4.76048226084552,0.03723982572336445,0.7192362125607826,55.07546085410704,98.92565285227765,5.710670553441303,0.5810534593947081,8.299860133587227,20.523569014582787,18.04576334933799,0.5559637223711499,0.7097695313658161,0.08406334355001036
6.697815267440616,0.05482084616685483,1.278724679016712,3.233581041578746,317.80805539455577,19.564905243967125,2.8709128398192076,7.156270147162545,32.17265050703576,23.34648294210034,6.175781419934808,0.4481556832736843,0.6579282171035077
6.078150376372134,0.11330448530829691,0.9637774917448197,29.21296036973539,451.60770053079085,6.895962348544586,3.240418307126619,23.177573662035375,118.67726366686456,27.189094117659298,0.7441919386031771,1.1645165223457252,0.17843701592632294
7.950767094156447,0.5414553920847549,0.47152713304031724,6.587920449317816,114.65079342645446,42.78810892952762,15.292356322692386,15.072600726686204,8.700329366028072,9.43537123750219,2.05747698483969,1.2964043424934435,0.5346265691994192
7.982209008925085,0.5627980641306481,0.45920504592721745,6.371918518347885,110.24498007568005,41.529309843163716,15.02158670455292,13.900649853044499,12.410199401634461,11.051082697329953,2.0214228100127665,1.3512019256116379,0.5135419449162859
5.982977824997156,0.2589450258734972,1.0182724163913115,23.079207177592327,439.0848030817665,10.567094145381024,2.1837297029647376,12.300471853034583,55.3880745124257,52.82995865163754,0.4580929071981818,0.9678717337064182,0.44042461090486523
4.849029452051797,0.0444102529594181,0.4652374182544304,8.275060474223928,67.4982157119134,0.5306751107195695,1.7198281139047387,2.312281063492722,26.1318854578125,15.881120891128615,1.299491810050812,0.7081545561572621,0.8003944256076007
8.44808014426468,0.25525001836304456,1.0343809491225293,13.296391363503282,769.9266842962162,25.358596545078306,4.335818253638211,18.908806683856437,3.2828969683172353,7.536220396381308,4.510550897753386,3.5242643581731734,0.9101930907854591
8.862079415997512,0.1699439939161103,0.4005194241865586,32.51256656224734,116.76511674107502,14.605843247358953,7.777457421587556,17.699530757087903,13.258819702111827,2.3695667422226006,2.2336214006388757,0.6813132716529628,0.7524760772174796
5.338126682835256,0.02994055859200047,0.9783256669244046,18.11629394773686,24.86833370229052,1.0811784741376531,0.9257543911434059,14.633937603668688,40.47682603804128,33.88007691151442,1.2334110107887941,0.5213664234129142,1.2092180995948874
5.6396871221752995,0.07809149825397102,1.1510788759831978,37.89910378396202,188.39387547810622,5.971462241369615,2.395776322942051,17.14395690716065,18.976591555450653,36.9776055915227,2.2525899340901736,0.7250308959591527,1.1512144482941333
5.061512183814891,0.15694421538274145,0.7885359959732331,21.336294430610607,130.64075212910586,3.0217016776582093,0.706606243322883,18.647929522202602,62.23937497578718,16.87807532741673,0.9439342794704741,0.5742892660011637,0.7846210929644851
8.539810140561993,0.16265967532717057,0.28189117764727334,77.32984009868167,292.20402896699795,4.239659853409019,4.705592626335815,28.566970980914654,5.921155961321272,5.984439325934426,0.641965991548892,0.9558428380788927,0.5916952435049769
5.00383770122154,0.09444086640290958,0.17161523701972559,10.984354603649054,179.42174154079945,4.658746290085701,2.7199675520238387,7.36002229151771,27.400246335051705,4.119432211398564,3.830876735219821,2.0063098650166604,1.1964134275066365
5.469988670319875,0.1173505694352226,0.8700870214633419,79.90458157511235,142.89206431299482,2.7735602750031796,2.17605063131929,4.414661487799497,16.090630419133593,44.263587971993985,1.2682708465367831,1.2601555229830013,0.9971912497754636
8.832426716732254,0.3162247939708642,1.368866609394072,10.215438584521003,255.65553438594242,16.791273865219527,6.902523177587285,16.77438258151656,6.836556918893475,12.559025204430096,1.1469805569966736,0.2585861509912845,0.41934146738273076
5.5485495454912055,0.08711299926228136,0.6603392142777887,23.157829080350133,210.1299022915651,5.239830218326868,1.8669589781371028,7.6777830194305405,42.20715737078391,50.19648505783466,2.517557189693837,2.6823049571145368,0.9753197117879372
6.621754917443754,0.2736053894928028,1.0716788119299832,12.79143304373062,305.1508823858304,4.419714929671103,3.2578553639682117,6.590471284014018,20.052324757284552,20.016879537453594,2.372404556219323,1.4373449048220341,0.35803949370870347
8.370736852344965,0.215157455956546,0.5339231772717558,5.431808020994497,602.5664969430421,41.130223552586344,24.248861138305738,9.6958250383395,14.191029738929009,4.876701110490198,1.8877518846488845,1.9352333186946995,0.2908865041329079
6.710845580519121,0.6118882038385131,0.18625720078531638,26.172736661925217,316.1914419741412,6.272533101920466,2.599888259611997,42.390135789271504,1.1485420504356647,30.35217955884491,1.9266075432137282,0.6955577097145292,0.28726982105992777
5.786380004304341,0.0761474645415736,1.1352746338967943,36.73338830810473,226.11558796687723,6.618721873587631,2.4643151497010716,16.55584469877924,18.165285051396943,35.08055413342091,2.448507537583639,0.7900885273043293,1.1563633893793888
7.912624483222139,0.3881281331968537,0.9662316503008642,27.81029346254516,380.1970856338571,6.818119078271978,1.7892631512073947,41.775950605577854,1.738515005322751,9.267335553926994,0.9156931388929,0.8180528175912046,0.4518041995969493
6.6071342666884325,0.10674603959894552,1.302122937297421,4.142122025448439,332.1386042302732,18.75462176414521,2.7334440675051366,8.159538586653708,28.59744954209365,22.329058727649613,6.187800439648312,0.411498100121001,0.6789526863489841
8.848402653285131,0.11460084047957166,0.9846603245441214,67.54821886370783,165.0777124990548,24.424890523110964,5.4683153759622005,6.950424345316109,1.215052203227796,3.551765582773629,1.0338043736504285,0.2946280226853176,0.7343450045880231
7.485091299290142,1.3045606291916936,1.1627802629070034,13.919224426424643,800.0609425811878,59.68068147445139,19.132569893127005,24.977739032528255,12.890437503569618,3.9698592524198193,6.364101598210256,0.616925819393087,0.4094645043551963
4.768291592028879,0.04960422955620848,0.47185147024280544,10.442586485418227,71.92296875360479,3.246266936005455,1.4167565251646161,2.515292673466631,25.859111659427743,15.839498974719103,1.5790700851090063,0.7001989925565262,0.8052317864113265
7.920290881260063,0.5289286010560386,0.42446854159727365,61.33320822988363,422.328660068646,7.08890212776056,4.726970677953968,22.14323389089717,17.615897440960975,26.144941897292156,0.4086765536193353,1.1088156142566408,1.0642308572237185
5.000216630964599,0.15618299724296703,0.7646980803357025,19.58529074840768,135.1608164263455,3.204491926877657,0.8069677341300896,19.136042547358525,61.06581736033619,15.669159503617081,0.846575443396553,0.5835168377646273,0.7707051589139787
5.991599815817749,0.15749096751285555,0.30771789038042396,81.33699367583729,368.5307546982871,6.462355769846155,0.5125144556604976,12.75160170525306,45.27940570722796,37.86241763716221,3.2081988400720594,6.82664903169359,1.0995899473036477
7.767292843636944,0.46757373310959205,0.576515195189841,20.11146451531279,356.30613061032363,19.855027790410844,11.098893955257113,14.720603433284044,1.1747952229947263,13.227935809940917,10.391048586809566,0.6742095940472078,0.23977349205425894
